Instruction,Response
Vad är bäst för nybörjare: fria vikter eller maskiner?,Båda är bra! Maskiner är grymma i början för att hitta rätt muskler och minska skaderisken. Fria vikter (som hantlar och skivstång) tränar dock balans och fler småmuskler samtidigt.
Hur många gånger i veckan bör jag träna för att bygga muskler?,"För de flesta räcker 3-4 pass i veckan jättebra. Kroppen bygger muskler när du vilar, så att träna varje dag kan faktiskt ge sämre resultat om du inte hinner återhämta dig."
Vad är ett PPL-schema?,"PPL står för Push, Pull, Legs. Det är ett schema där du delar upp kroppen: pressövningar (bröst/triceps) en dag, dragövningar (rygg/biceps) en dag, och ben en dag."
Vad betyder hypertrofi?,Hypertrofi är ett finare ord för muskeltillväxt. När du tränar för hypertrofi (ofta 8-12 repetitioner) tvingar du musklerna att anpassa sig och bli större.
Vad är 1RM?,"1RM står för 'One Rep Max', alltså den absolut tyngsta vikten du kan lyfta i en övning för exakt en repetition. Det används ofta för att mäta sin maxstyrka i till exempel bänkpress."
Hur länge ska man vila mellan seten?,För muskelbyggande brukar 1–2 minuter räcka för att hämta andan. Kör du väldigt tung styrka (exempelvis tunga knäböj) kan du behöva vila 3–5 minuter för att orka maxa igen.
Är det okej att använda träningsbälte?,"Ja, ett bälte hjälper till att skapa tryck i magen (bålen) vilket skyddar ryggraden vid riktigt tunga lyft som marklyft och knäböj. Men du bör också träna upp din egen magstyrka utan bälte."
Vad är 'lifting straps' (dragremmar)?,"Det är band du virar runt handleden och skivstången för att inte tappa greppet när du kör tunga dragövningar, som marklyft. Grymt när ditt grepp ger upp innan ryggen gör det!"
Hur ska man andas när man lyfter tungt?,"En grundregel: andas in på nervägen och andas ut när du trycker/drar den tyngsta biten. Vid maxlyft använder många 'Valsalvamanövern' – ta ett djupt andetag, håll andan och spänn magen för att stabilisera ryggen."
Ska man köra till 'failure' på varje set?,"Att köra till failure betyder att du gör reps tills du fysiskt inte orkar en enda till. Det är bra ibland för att pressa musklerna, men gör du det på *varje* set blir nervsystemet för slitet."
Behöver jag proteinpulver för att bygga muskler?,"Nej, proteinpulver är bara mat i pulverform. Får du i dig tillräckligt med protein från kyckling, ägg, bönor eller kvarg behöver du ingen shake. Det är bara smidigt efter träningen!"
Hur mycket protein behöver jag per dag?,"Om du styrketränar är ett bra mål ca 1,6 till 2,0 gram protein per kilo kroppsvikt. Väger du 70 kg betyder det ungefär 110–140 gram protein om dagen."
Är kreatin farligt?,"Nej, kreatin är världens mest undersökta kosttillskott och är supersäkert för friska personer. Det hjälper kroppen att skapa snabb energi, vilket gör att du kanske orkar 1-2 reps extra på gymmet."
Vad gör en PWO (Pre-Workout)?,PWO är en dryck eller pulver du tar innan träning för att bli pigg. Den innehåller oftast mycket koffein (som kaffe eller energidryck) och ibland ämnen som ger en stickande känsla (beta-alanin).
Är det okej att dricka Nocco eller Celsius varje dag?,"En om dagen är oftast ingen fara, men tänk på att de innehåller väldigt mycket koffein (motsvarande 2-3 koppar kaffe). Dricker du dem sent på dagen kan det förstöra din sömn, vilket sabbar din återhämtning."
