Instruction,Response
Var anmäler jag att mitt busskort är borta?,Gå till expeditionen på plan 2 under förmiddagsrasten för att beställa ett nytt.
Vad gör jag om jag har glömt min skåpnyckel?,Kontakta vaktmästaren via expeditionen för att få hjälp att öppna skåpet.
När öppnar skolbiblioteket på måndagar?,Biblioteket öppnar klockan 08:30 alla skoldagar.
Var hittar jag skolsköterskan?,Elevhälsans mottagning finns i korridor C bredvid personalrummet.
Hur sjukanmäler man sig på morgonen?,Målsman eller myndig elev registrerar frånvaron i skolsystemets app före klockan 08:00.
Vad gäller om jag vill byta individuellt val?,Boka en tid hos studie- och yrkesvägledaren under de två första läsveckorna.
Var kan man värma sin medhavda matlåda?,Mikrovågsugnar finns i elevuppehållsrummet på plan 1.
Hur får man nytt lösenord till skoldatorn?,Kontakta it-supporten i datasalen under lunchrasten.
Var hämtar man ut specialkost i matsalen?,Vänd dig direkt till serveringspersonalen vid köksluckan.
Vad gör jag om jag tappar bort min tagg till dörrarna?,Anmäl förlusten direkt i receptionen så spärras taggen och du får en ny.
Var finns skolans studie- och yrkesvägledare?,SYV har sitt kontor bredvid biblioteket på plan 2.
Hur bokar jag tid hos kuratorn?,Skicka ett meddelande i Teams eller knacka på dörren vid elevhälsan.
Vilka tider serveras lunchen i matsalen?,Matsalen är öppen för lunch mellan klockan 11:00 och 13:00.
Får man ladda elscooter i skolan?,"Nej, laddning av elscootrar är förbjuden i skolans lokaler på grund av brandrisk."
Var kan jag sitta och plugga i lugn och ro?,Tysta läsesalen finns längst in i skolbiblioteket.
Vad händer om jag kommer för sent till lektionen?,Läraren rapporterar sen ankomst i närvarosystemet efter fem minuters försening.
Hur ansöker jag om ledighet för en resa?,Fyll i blanketten för ledighetsansökan och lämna den till din mentor minst två veckor i förväg.
Var lämnas kvarglömda kläder och värdesaker?,Värdesaker lämnas till receptionen och kläder samlas i lådan vid huvudentrén.
När stänger skolans ytterdörrar på eftermiddagen?,Ytterdörrarna låses automatiskt klockan 16:30 varje vardag.
Hur ansluter jag min privata mobil till skolans wifi?,Välj gästnätverket och logga in med ditt vanliga skolkonto.
Var kan man fylla på sin vattenflaska?,Vattenstationer finns utanför matsalen och vid idrottshallen.
Vad krävs för att få busskort betalt av kommunen?,Du måste ha minst sex kilometers färdväg mellan hemmet och skolan.
Hur får jag tag på en mentor under skoldagen?,Skicka ett chattmeddelande via Teams eller sök upp mentorn i personalrummet.
Var hålls idrottslektionerna?,Idrottslektionerna hålls i sporthallen bredvid fotbollsplanen.
Vad gör jag om skoldatorn går sönder?,Lämna in datorn till it-avdelningen på plan 1 för felsökning och reparation.
Får man äta mat i klassrummen?,"Nej, mat och dryck förutom vatten är inte tillåtet i lektionssalarna."
Var hittar jag schemat för nationella prov?,Provschemat publiceras på anslagstavlan utanför expeditionen och i lärplattformen.
Hur lånar jag böcker i biblioteket?,Använd ditt passerkort eller personnummer i utlåningsautomaten.
Vem kontaktar jag vid mobbning eller kränkningar?,"Prata direkt med din mentor, kuratorn eller någon medlem i trygghetsteamet."
Var finns toaletter anpassade för rullstol?,Tillgänglighetsanpassade toaletter finns vid hissen på alla våningsplan.
Vad händer om jag glömmer idrottskläder?,Prata med idrottsläraren direkt vid lektionsstart för att få en alternativ uppgift.
Hur vet jag om en lektion är inställd?,Ändringar i schemat visas i schema-appen samt på monitorskärmarna i korridoren.
Var kan man köpa mellanmål på skolan?,Skolcaféet på plan 1 säljer mackor och frukt under rasterna.
Får man lämna skolområdet under håltimmar?,"Ja, elever på gymnasiet har tillåtelse att lämna skolan under håltimmar."
Var samlas klassen vid brandlarm?,Samlingsplatsen är på grusplanen bakom idrottshallen vid skylten för din klass.
Hur beställer jag ett officiellt betygskopia?,Skicka en begäran till skolans studieadministratör via e-post.
Vad kostar det att ersätta ett borttappat passerkort?,Ett nytt passerkort kostar 50 kronor och betalas i receptionen via Swish.
Var parkerar man moped och cykel säkert?,Cykel- och mopedparkering med kamerabevakning finns vid skolans baksida.
Får man spela spel på skoldatorn?,"Nej, datorn är ett arbetsverktyg och får endast användas för skoluppgifter."
Hur anmäler man specialkost av religiösa skäl?,Fyll i blanketten för kostavvikelse och lämna den till skolsköterskan.
Var finns skolans hjärtstartare?,Hjärtstartare finns monterad på väggen direkt innanför huvudentrén.
Vad gör jag om jag tappar bort mi cykelnyckel?,Fråga i receptionen om någon har lämnat in en upphittad nyckel.
Hur ofta måste jag byta lösenord till elevkontot?,Lösenordet måste uppdateras en gång varje termin via inloggningsportalen.
Får man skriva ut privata dokument på skolans skrivare?,"Nej, skrivarna är spärrade för allt material som inte är direkt kopplat till kurserna."
Vem anmäler jag skadegörelse på mitt skåp till?,Gör en anmälan direkt till vaktmästaren eller meddela din mentor.
När stänger skolcaféet för dagen?,Caféet stänger klockan 14:30 måndag till torsdag och klockan 13:00 på fredagar.
Var kan jag ladda min dator under rasten?,Laddningsskåp finns placerade i korridor B och i uppehållsrummet.
Hur ansöker man om prövning för att höja ett betyg?,Blankett för prövning hämtas hos SYV och lämnas in före terminsstart.
Vad händer vid fusk på ett prov?,"Fusket rapporteras till rektor, provet ogiltigförklaras och vårdnadshavare kontaktas."
Var hittar jag blanketter för bussersättning?,Samtliga blanketter finns för nedladdning på skolans webbplats under elevservice.
